,image,abs_aspect_ratio,shape,aspect_adjust,adjust_aspect_ratio,adjust_shape,handle
0,trinary0001-0549-1185SDS_Wash_I_E07.tif,7.76,"[50, 388]",True,1.0,"[310, 310]",handle
1,trinary0001-0652-1606SDS_Wash_U_F07w2_combo.tif,1.6666666666666667,"[175, 105]",False,1.6666666666666667,"[175, 105]",handle
2,trinary0001-0672-1698SDS_Wash_I_E05.tif,14.277777777777779,"[36, 514]",True,1.0,"[389, 389]",handle
3,trinary0001-0710-2302SDS_Wash_U_F07w2_combo.tif,1.39,"[139, 100]",False,1.39,"[139, 100]",handle
4,trinary0001-0719-1844SDS_Wash_I_E02.tif,3.524822695035461,"[141, 497]",False,3.524822695035461,"[141, 497]",handle
5,trinary0001-0743-2421SDS_Wash_U_F08w2_combo.tif,3.6923076923076925,"[52, 192]",False,3.6923076923076925,"[52, 192]",handle
6,trinary0001-0880-2663SDS_Wash_I_E11.tif,11.113636363636363,"[44, 489]",True,1.0,"[377, 377]",handle
7,trinary0001-0914-0903SDS_Wash_U_B05w2_combo.tif,1.3324324324324324,"[370, 493]",False,1.3324324324324324,"[370, 493]",handle
8,trinary0001-0929-3166SDS_Wash_I_E05.tif,3.292682926829268,"[164, 540]",False,3.292682926829268,"[164, 540]",handle
9,trinary0001-0946-2485SDS_Wash_I_E11.tif,4.192,"[125, 524]",False,4.192,"[125, 524]",handle
10,trinary0001-0956-0733SDS_Wash_I_E01.tif,1.0376344086021505,"[372, 386]",False,1.0376344086021505,"[372, 386]",handle
11,trinary0001-1023-2602SDS_Wash_I_E07.tif,5.925373134328358,"[67, 397]",True,1.0,"[328, 328]",handle
12,trinary0001-1057-1397SDS_Wash_I_E10.tif,3.7987012987012987,"[154, 585]",False,3.7987012987012987,"[154, 585]",handle
13,trinary0001-1113-1906SDS_Wash_U_C05w2_combo.tif,3.8219178082191783,"[73, 279]",False,3.8219178082191783,"[73, 279]",handle
14,trinary0001-1175-0663SDS_Wash_U_C07w2_combo.tif,1.2405498281786942,"[361, 291]",False,1.2405498281786942,"[361, 291]",handle
15,trinary0001-1188-2768SDS_Wash_U_C07w2_combo.tif,3.908333333333333,"[469, 120]",False,3.908333333333333,"[469, 120]",handle
16,trinary0001-1189-1768SDS_Wash_I_E09.tif,3.4193548387096775,"[155, 530]",False,3.4193548387096775,"[155, 530]",handle
17,trinary0001-1192-0450SDS_Wash_I_E02.tif,1.206266318537859,"[462, 383]",False,1.206266318537859,"[462, 383]",handle
